book_id,author_id,book_genre,reader_id,num_pages,book_rating,publisher_id,publish_year,book_price,text_lang
2190,303,3,21012,253,9,24,2000,49,5
523,79,5,20478,250,6,4,2007,129,3
995,105,9,6824,373,9,40,2019,40,3
1927,136,6,23325,218,1,24,2001,50,1
855,426,1,11804,629,2,18,2001,139,1
2857,64,2,12981,102,1,33,2011,73,6
293,137,5,20728,370,8,21,2000,38,4
866,102,10,24923,212,8,46,2008,181,4
2749,218,7,7293,447,9,17,2002,149,5
2132,436,2,22416,153,7,35,2009,82,2
913,410,8,11863,362,9,11,2010,171,7
2833,77,8,19185,208,2,49,2017,140,7
2989,290,4,27963,320,7,16,2014,97,3
2150,302,9,18937,407,4,3,2018,27,7
2424,305,9,899,535,8,16,2000,92,2
164,442,5,25233,248,10,26,2016,73,2
2226,344,7,17137,634,6,20,2003,7,6
2758,90,5,13633,467,2,17,2003,180,5
1962,26,6,25292,316,9,5,2018,44,6
2031,447,6,6686,614,1,50,2020,55,7
547,302,9,24181,648,5,21,2009,156,4
2627,100,7,550,638,4,49,2008,159,1
1622,78,9,27154,122,8,3,2007,10,7
1545,3,10,27168,88,4,35,2009,86,5
642,299,9,25633,238,4,4,2013,197,7
2187,71,7,19000,392,4,48,2016,114,7
566,344,5,26936,495,9,39,2002,105,5
2890,9,9,22456,617,6,17,2016,136,2
867,195,10,6824,484,7,46,2006,135,5
2184,174,10,12531,378,1,19,2014,38,3
2209,226,5,24109,81,2,7,2016,161,3
423,351,2,16482,476,1,33,2008,124,7
944,328,4,7488,277,2,27,2016,7,1
955,392,1,17936,451,6,37,2003,28,3
576,411,10,16874,645,5,41,2018,190,2
2801,45,5,4351,246,1,4,2003,194,6
485,231,9,759,256,9,29,2020,76,4
681,98,6,24519,659,4,48,2004,157,4
2347,358,2,22660,699,6,13,2007,60,7
792,229,7,1772,237,1,37,2003,47,3
1555,350,6,10100,366,2,33,2014,84,2
2090,44,2,9011,496,9,20,2011,78,5
874,431,9,11012,663,2,36,2001,55,4
1298,264,2,17444,85,2,32,2017,172,6
1536,301,1,11891,611,8,43,2016,132,2
2714,41,5,12718,202,7,36,2015,177,7
1188,274,4,24586,220,5,12,2016,57,1
118,50,1,5431,225,7,35,2008,68,1
62,233,7,5199,680,10,32,2008,159,3
1884,85,5,5115,345,4,17,2012,87,5
1673,48,4,29115,173,5,44,2013,139,4
878,54,8,16064,381,10,29,2019,21,4
2358,309,9,17212,690,8,26,2005,82,3
1323,197,3,25826,259,8,25,2011,77,1
1372,219,5,21678,161,9,11,2009,82,1
1558,159,9,27910,359,8,17,2008,137,2
1449,318,2,4739,150,7,19,2009,123,6
2426,57,9,6911,549,9,11,2006,65,5
29,17,9,15175,487,1,8,2019,192,3
802,196,3,16026,180,2,40,2001,153,3
1149,140,3,18656,149,6,30,2019,21,5
2598,343,4,11501,676,5,39,2019,93,4
1405,388,6,28853,361,8,11,2013,49,4
1342,386,4,22005,699,8,9,2015,106,3
525,9,6,17716,213,4,1,2014,118,6
1051,316,3,10042,651,4,9,2004,179,6
2216,421,10,7476,513,1,28,2008,10,2
1761,379,1,25966,457,8,3,2021,41,2
936,104,4,6424,219,7,48,2017,42,3
1,286,9,16944,534,7,13,2018,183,7
2551,238,5,5290,644,1,26,2008,144,1
2544,103,3,5086,295,10,10,2009,84,5
2605,250,9,20515,151,10,29,2009,174,2
1923,321,6,21974,124,8,21,2009,63,1
2102,360,5,26010,426,9,12,2014,128,1
1090,200,10,4754,540,7,27,2004,123,4
664,94,4,28350,152,1,8,2021,160,5
2259,142,10,25959,560,3,18,2001,180,3
2156,214,1,10931,490,3,14,2021,57,1
2120,48,4,7104,446,1,6,2020,161,3
341,337,3,25073,425,7,20,2010,59,4
1383,380,10,22117,587,4,33,2000,33,2
786,436,1,16275,181,8,16,2000,130,4
936,449,3,6843,599,10,8,2006,103,4
2533,270,7,23682,657,9,20,2012,173,3
2541,41,8,10007,337,9,3,2005,148,2
2446,366,9,10690,307,10,43,2018,144,6
2802,81,8,9035,583,5,19,2017,129,4
2924,416,8,14340,491,10,36,2006,144,7
1918,309,8,23985,282,1,11,2011,103,3
2958,83,2,3960,273,3,5,2011,6,2
1495,365,8,274,570,1,42,2016,120,1
2050,408,8,11396,487,10,5,2008,31,1
701,263,5,17114,216,3,48,2008,197,3
1480,62,10,15627,612,10,43,2002,40,5
2014,45,2,29528,144,6,41,2017,187,6
2857,383,9,20965,493,8,14,2009,41,1
2223,334,4,12630,436,4,29,2002,63,6
401,94,7,6335,651,7,23,2019,43,4
2461,392,6,4612,219,7,4,2008,171,1
1126,238,7,4579,391,6,36,2012,52,6
1987,158,4,10610,533,4,10,2001,83,7
1757,129,8,6385,272,2,46,2007,12,3
2353,61,3,22754,246,5,29,2018,65,7
1905,286,8,7063,281,4,42,2000,53,6
862,115,1,19810,529,2,27,2016,24,5
1636,380,7,11936,238,2,50,2019,153,1
2489,267,9,1214,183,2,40,2003,20,4
2241,450,10,7077,167,2,11,2006,51,1
1190,35,2,11088,425,1,38,2016,160,4
2947,15,10,14644,103,6,37,2017,186,4
1269,12,2,17381,259,2,41,2015,108,2
768,325,5,25937,584,5,14,2004,11,7
984,386,3,7949,212,9,15,2012,172,3
2291,388,10,16660,330,7,4,2011,126,5
243,105,8,13626,405,2,5,2021,96,4
2018,180,4,6000,101,2,27,2011,28,1
145,82,7,28898,198,10,13,2004,118,7
1992,390,4,18783,167,5,32,2006,169,5
2476,27,4,1503,401,5,45,2012,28,2
1652,101,7,14333,316,4,37,2012,10,4
206,97,5,13900,153,4,5,2010,151,1
859,134,1,1265,496,10,44,2019,200,5
125,287,5,16690,259,8,33,2006,87,5
2639,38,7,28254,432,9,18,2007,147,3
2968,408,4,23026,652,5,42,2014,173,4
2524,273,2,25950,434,10,33,2015,127,4
1847,370,3,1856,423,4,16,2016,4,6
828,445,2,7197,306,9,20,2016,78,1
85,53,8,18974,615,4,10,2021,109,4
772,202,1,18632,237,2,40,2001,185,7
2406,43,4,26737,461,7,18,2006,60,2
157,74,10,5677,480,10,19,2020,154,6
199,183,10,2036,349,3,38,2003,125,7
2625,371,6,18498,566,2,45,2016,115,2
1969,363,9,8527,172,5,6,2019,106,3
902,411,6,10418,624,7,38,2010,152,2
149,425,5,22701,304,8,13,2005,3,7
233,316,6,20361,260,6,12,2001,140,3
2710,11,2,23334,79,2,26,2015,17,3
1111,223,1,8724,438,9,20,2019,96,3
1006,193,5,11008,557,7,7,2002,28,4
675,173,3,20242,610,7,3,2009,196,5
1151,2,3,14215,402,4,50,2001,161,2
80,343,4,29344,622,2,1,2014,105,2
2896,245,3,7638,300,8,37,2018,10,2
981,330,2,1817,377,2,25,2004,160,6
1532,268,3,17292,180,5,43,2010,177,6
2763,278,6,24922,578,10,5,2015,64,4
474,403,5,9575,467,1,3,2003,182,4
2505,68,8,10154,579,4,43,2006,154,4
2016,133,10,12640,78,8,14,2000,86,7
1535,353,2,9118,147,6,41,2013,36,7
73,98,8,17787,448,7,17,2005,177,7
705,388,5,26256,444,5,18,2014,87,7
57,38,3,10305,273,8,49,2017,116,4
1044,15,9,21942,85,6,41,2000,122,1
2383,35,3,13330,148,2,45,2001,8,6
1747,1,6,4537,142,6,14,2018,61,1
2496,384,2,288,398,3,29,2017,190,7
2344,216,6,18217,445,6,9,2013,101,7
2791,331,5,25234,617,2,38,2021,100,7
1203,5,10,8036,595,8,37,2001,42,5
830,69,8,22663,298,3,15,2000,159,2
2874,100,8,3719,225,5,43,2016,78,3
2488,270,8,5161,487,10,6,2021,12,1
869,238,9,26577,608,5,46,2014,191,1
300,37,2,1196,619,8,39,2005,78,1
2816,360,5,5575,81,5,3,2011,135,3
2828,400,7,27386,433,4,12,2014,146,6
2204,155,2,24667,476,7,32,2015,33,4
2134,40,1,16003,318,9,5,2013,136,4
1440,309,3,5017,96,4,21,2007,78,6
2300,247,3,19317,360,5,3,2017,180,7
868,359,8,12299,656,9,47,2000,68,5
1320,262,5,25690,479,9,22,2018,106,1
433,74,10,382,548,1,17,2011,75,7
552,30,4,21515,438,3,12,2004,158,5
1425,97,7,17337,631,1,36,2017,131,3
1004,243,8,8374,236,1,25,2001,61,7
1530,208,4,22868,169,4,45,2004,30,3
1921,225,3,9614,374,8,10,2002,198,6
2804,366,6,17154,364,8,22,2020,91,7
1941,396,4,5098,187,4,9,2018,58,4
2904,107,9,9400,282,3,26,2000,90,6
1928,437,8,15659,307,5,33,2014,37,6
1591,17,7,24648,621,10,8,2007,17,2
56,170,3,21333,397,6,15,2018,81,1
1215,219,9,6567,92,8,34,2003,74,2
2215,207,3,5665,346,1,36,2014,99,7
1458,232,7,23410,389,5,45,2016,108,3
2894,173,2,7099,221,7,34,2020,90,2
90,263,2,28065,242,2,16,2002,87,1
577,398,2,20099,288,10,23,2018,118,3
1592,96,6,5275,641,10,40,2011,34,4
397,156,9,15167,399,2,21,2014,117,1
1971,415,5,4742,319,9,33,2007,67,4
2689,386,7,9475,272,3,49,2019,181,1
2907,439,4,11674,580,4,19,2010,106,6
1787,81,1,17559,534,1,26,2011,3,3
1841,354,5,16810,179,9,40,2008,1,5
822,367,9,2465,182,3,50,2009,188,2
902,204,8,18479,596,7,3,2018,14,3
107,135,5,25076,203,7,13,2016,96,3
196,63,2,5896,298,7,38,2011,30,6
2683,158,5,5231,193,3,29,2009,13,4
168,117,5,14866,624,10,14,2008,167,6
2922,295,5,20860,376,1,44,2014,28,7
2783,69,2,25438,254,2,50,2017,80,1
2808,267,7,5581,554,6,11,2001,22,5
2718,418,9,9581,650,9,18,2011,100,6
880,142,3,4551,459,4,25,2007,59,2
2397,24,3,17830,235,10,4,2009,99,3
222,141,4,423,615,2,47,2016,84,2
166,107,3,8757,666,5,16,2013,165,2
127,405,4,24843,564,1,49,2016,52,5
281,58,10,7985,621,10,36,2003,65,3
1229,200,4,16932,391,10,36,2019,25,4
1821,193,10,6158,476,9,21,2012,181,2
2982,234,7,9342,487,8,25,2013,76,2
2255,292,7,1210,433,8,40,2013,141,5
2113,16,5,10717,172,7,50,2020,191,1
2420,93,4,11070,77,6,46,2005,53,3
2991,119,8,18577,203,2,44,2010,37,4
2738,394,10,12493,654,7,21,2005,104,2
829,178,8,27522,524,2,24,2012,108,4
1480,140,9,24329,610,4,37,2015,81,2
758,303,2,27312,279,10,11,2015,32,5
1173,133,5,25997,405,2,45,2008,29,7
498,205,2,27140,177,4,6,2005,14,4
1878,204,4,15470,236,4,41,2004,188,3
2466,194,2,17287,351,8,2,2003,124,4
263,349,8,14967,424,5,33,2000,52,7
2783,440,9,19645,606,8,39,2006,87,3
2897,386,4,4129,488,4,40,2019,196,6
2201,39,2,27654,509,9,23,2003,125,1
617,211,6,12157,150,6,17,2009,80,2
890,285,10,13555,131,10,38,2004,146,7
185,121,5,7101,550,3,22,2007,128,4
1945,196,4,27611,120,6,12,2013,75,5
2811,185,4,12658,217,8,43,2017,18,4
1761,318,3,4449,410,8,33,2001,157,4
2797,214,8,21717,620,1,11,2008,39,2
597,341,4,19547,219,1,4,2017,52,1
1518,430,9,28417,558,8,44,2013,52,1
1291,252,2,11913,416,2,25,2005,2,5
396,89,2,19740,592,1,39,2020,76,7
1354,96,4,11250,130,6,19,2012,28,2
847,352,5,28412,98,6,35,2015,166,5
2771,364,10,26268,281,5,27,2004,108,5
2483,195,5,9556,564,9,28,2009,189,2
2072,160,4,24453,445,7,8,2021,39,2
822,62,8,16952,294,8,17,2015,131,2
1351,65,3,14977,344,4,27,2013,199,6
1243,51,9,22362,502,4,33,2008,162,4
2351,97,8,4372,355,6,19,2017,185,3
328,68,4,2111,270,1,28,2015,6,7
2824,310,6,22731,491,5,13,2000,37,1
1551,256,8,314,440,6,33,2010,16,4
1222,119,2,16039,97,9,41,2010,49,1
2294,212,7,23751,669,10,35,2020,24,6
905,152,8,11394,362,4,5,2010,169,5
2867,155,6,22793,534,7,41,2009,152,2
2484,255,8,19000,129,2,12,2006,93,1
517,442,8,28952,582,9,12,2021,118,5
903,146,2,14341,596,10,49,2002,3,4
850,411,2,11681,572,7,4,2021,22,7
1081,264,2,5469,391,5,35,2006,41,5
1084,274,1,24294,635,7,17,2011,173,1
474,56,2,21046,261,7,20,2014,28,4
852,129,10,60,508,2,30,2012,155,4
692,342,1,319,311,4,49,2011,33,7
2871,404,3,2673,161,4,44,2001,170,5
1019,13,5,16806,216,5,48,2013,176,1
864,129,4,21100,219,4,13,2014,196,4
817,171,7,9558,640,8,45,2011,79,2
2068,73,10,4068,484,4,22,2012,71,5
2742,19,8,28178,119,9,18,2016,175,3
1709,105,4,26665,436,7,7,2010,45,3
1069,338,1,22436,445,1,16,2014,86,1
1192,314,9,23848,134,4,10,2012,121,7
695,27,4,24214,137,8,5,2010,91,3
1728,372,3,9608,149,6,24,2002,39,5
467,197,4,12480,463,1,20,2008,147,5
1295,168,3,23358,457,10,37,2012,34,2
1729,275,3,28421,484,4,13,2002,102,4
1244,211,8,12968,672,4,24,2017,98,2
519,291,6,8122,503,4,43,2021,86,4
578,276,7,8444,419,7,5,2014,178,1
920,317,7,21758,99,9,31,2011,106,5
901,333,8,11538,211,7,33,2021,100,3
2755,385,1,21085,631,2,49,2020,118,2
2835,53,7,14759,640,3,9,2021,35,5
2857,118,3,12606,403,4,33,2002,23,4
375,69,4,22445,650,7,29,2011,131,7
2201,165,9,20555,323,9,26,2018,38,2
1783,135,6,16894,480,7,21,2011,73,3
163,31,5,22326,450,8,33,2002,54,7
822,263,7,2579,688,7,3,2017,18,5
2933,328,3,12687,508,2,40,2003,132,4
2464,122,1,6894,603,1,26,2018,164,5
2849,6,7,10629,479,9,19,2007,132,1
2853,302,2,8562,445,9,10,2010,153,5
2738,348,7,18789,380,2,5,2008,3,2
2396,254,7,15068,80,9,34,2009,14,6
1469,157,4,13558,470,8,48,2003,144,2
1882,214,1,28773,286,2,9,2008,19,1
195,412,1,22658,453,6,26,2020,91,3
1595,148,5,16487,295,7,11,2005,9,2
2,307,6,17705,176,6,34,2015,182,4
2646,91,6,5183,620,7,31,2002,19,2
669,443,8,15603,395,10,43,2002,191,6
520,202,1,6905,95,9,44,2005,23,6
34,202,2,18655,151,5,23,2013,43,5
474,48,2,20587,518,8,23,2016,60,3
2810,360,7,932,585,8,3,2001,119,5
2933,392,4,16041,120,2,19,2021,138,1
1484,447,10,4107,313,10,21,2005,119,2
2395,430,7,23731,403,1,8,2006,163,6
425,103,7,20049,694,6,13,2021,112,4
1210,237,1,439,524,9,17,2001,200,3
485,57,6,11278,86,6,39,2005,19,2
1113,100,10,8244,377,1,23,2008,33,3
269,440,3,10029,236,8,12,2003,122,5
522,353,7,24166,404,3,19,2002,180,5
922,433,10,29737,255,7,1,2000,149,5
378,282,6,19804,253,6,5,2000,94,4
2691,379,10,7146,227,9,32,2019,125,5
1100,108,3,14182,297,6,25,2008,158,1
179,388,5,21925,633,2,34,2021,36,1
170,118,6,4757,650,5,45,2008,189,6
150,349,7,8666,117,5,7,2016,178,3
2078,373,10,6181,344,7,45,2008,22,2
716,111,6,27828,405,3,35,2002,189,5
2732,217,7,19780,546,6,6,2017,7,5
1798,272,2,5649,562,8,40,2002,80,3
1841,157,4,26232,543,7,46,2007,170,7
1739,254,8,25528,417,2,18,2010,36,4
2533,155,1,24685,322,4,12,2011,8,3
1596,314,7,2747,310,2,9,2006,53,7
735,272,1,15278,78,8,20,2000,158,7
1826,133,2,664,218,7,27,2007,150,6
2115,260,2,25636,345,8,19,2007,167,3
2007,230,2,22256,420,7,17,2005,159,6
2358,276,6,20493,215,9,46,2016,130,2
1995,26,8,14116,316,1,21,2005,125,4
2072,253,9,28173,172,9,4,2008,49,5
983,120,3,27188,671,10,44,2006,195,5
1136,116,5,4319,164,1,42,2008,62,2
714,326,1,14299,492,4,30,2014,102,2
1761,195,5,16677,591,7,13,2004,124,2
2106,244,8,9951,629,10,37,2010,64,3
1298,237,2,14199,700,6,4,2001,187,7
850,40,8,24754,346,8,31,2004,187,2
2936,22,9,9172,489,10,6,2009,182,7
2689,297,3,13635,97,10,5,2020,78,1
941,274,9,18956,555,9,1,2018,55,2
1936,283,2,18150,478,6,33,2015,108,4
199,60,3,24920,394,3,24,2008,113,3
1607,345,8,6265,476,8,4,2018,60,4
2417,431,7,16650,268,4,27,2017,92,5
2159,204,7,11141,168,8,4,2020,97,5
2140,82,6,20891,476,9,39,2018,29,5
2897,383,6,16283,109,5,44,2020,94,2
2099,11,10,17665,351,3,41,2003,197,1
432,12,9,1114,570,7,47,2008,78,3
1741,320,5,10202,223,10,42,2002,76,5
543,131,4,27834,631,6,20,2013,96,6
1124,57,4,26029,454,3,35,2004,168,7
391,114,9,4055,325,5,3,2001,148,1
959,426,9,20402,531,2,5,2003,139,2
2116,270,4,28250,105,5,1,2015,194,2
1851,89,4,12114,642,6,35,2004,92,3
660,30,5,21386,439,7,11,2003,82,2
2263,323,9,13683,262,10,27,2013,91,5
2948,13,5,15643,526,6,3,2012,124,5
861,168,4,139,150,6,24,2006,84,4
2797,12,10,25108,392,7,44,2006,42,1
1150,401,5,14751,489,4,15,2004,7,7
2041,114,1,20837,181,8,18,2005,87,2
1010,249,5,1121,75,2,43,2001,47,6
2040,290,9,25613,600,6,13,2021,130,3
762,190,9,17390,458,4,14,2006,39,4
1541,158,10,8304,542,3,44,2007,118,2
1587,276,1,13281,358,2,7,2002,54,3
1743,326,10,29795,196,5,45,2017,149,3
2055,163,9,18750,255,10,11,2003,56,3
1331,133,5,19389,699,5,19,2001,44,3
1168,135,3,7915,128,5,15,2010,80,7
297,358,9,24159,525,6,42,2009,113,7
2612,78,8,316,487,6,47,2007,67,2
2471,180,7,967,546,5,7,2020,70,7
718,300,9,2272,292,7,24,2010,186,2
338,83,7,11615,487,6,47,2013,121,4
1555,27,4,10983,117,5,31,2011,90,2
822,312,4,21521,394,2,23,2012,179,6
1567,38,2,16849,174,7,22,2002,34,3
426,318,3,9980,350,7,30,2006,36,5
1277,280,4,17493,283,8,42,2018,192,6
1800,18,3,3985,627,7,21,2006,188,2
895,179,1,8761,685,10,46,2001,74,5
2892,232,4,23873,168,4,50,2021,103,5
808,13,3,29716,220,10,3,2017,143,5
2718,422,8,12754,127,5,23,2009,128,6
1578,422,8,29725,385,9,34,2006,97,2
940,38,8,18603,93,2,7,2000,68,2
837,361,2,6419,393,4,16,2003,63,5
116,176,1,22732,336,2,11,2000,39,5
2411,154,1,18774,531,4,37,2007,118,2
1357,31,1,16431,207,8,41,2004,25,2
348,205,7,10906,122,1,35,2011,61,6
276,286,3,19048,363,3,3,2015,9,4
2314,287,5,20137,636,9,2,2002,120,5
190,87,4,16289,631,8,41,2017,85,4
1315,392,2,24276,670,4,8,2011,34,3
243,99,6,28062,110,9,33,2008,187,5
1602,390,5,13380,122,6,36,2014,17,4
917,6,2,29358,139,9,34,2011,18,4
2756,55,9,2689,525,8,44,2019,154,7
532,79,8,13626,544,2,13,2002,67,4
642,4,4,23601,140,4,18,2015,115,6
2774,430,7,27717,507,5,33,2001,181,7
1675,177,4,14560,308,6,46,2009,1,3
1576,351,7,28486,522,1,9,2010,97,2
2270,361,1,3770,222,2,24,2014,82,6
225,62,3,24856,518,10,12,2000,191,2
115,31,10,2045,86,1,17,2013,24,4
2103,346,6,21219,374,8,3,2008,171,2
300,129,8,27356,191,6,24,2020,47,5
1409,407,1,10491,695,3,31,2013,68,5
1123,153,3,328,181,3,19,2017,140,3
2926,146,9,21736,460,7,16,2014,33,7
1046,231,9,7205,202,3,2,2014,50,1
1781,436,1,1355,576,10,29,2003,159,1
1294,159,6,11627,514,1,47,2006,195,3
911,11,5,17298,345,10,2,2009,186,7
1853,102,3,27620,227,3,10,2009,134,2
1365,392,10,18796,207,6,3,2002,99,3
1861,377,3,12225,294,8,1,2021,85,2
1714,213,5,23379,507,7,21,2015,123,5
447,410,5,12911,238,3,42,2006,51,6
312,318,10,20274,296,3,28,2003,59,6
451,133,4,19851,519,7,28,2012,181,3
2352,427,2,22444,549,6,46,2017,175,2
2967,252,4,22954,235,4,3,2015,20,1
2696,117,8,1764,657,6,32,2021,101,6
2657,166,6,1748,624,10,31,2021,90,7
2857,172,2,8632,376,8,25,2020,35,2
645,147,10,20624,343,4,17,2004,8,3
2943,277,2,1711,477,3,36,2011,195,2
1273,36,3,20482,482,3,11,2016,37,3
1763,267,1,11662,674,2,49,2013,131,1
1030,385,5,10065,239,5,21,2003,50,6
2537,124,10,8306,513,2,22,2004,180,3
1311,294,2,13782,93,3,49,2005,179,5
697,217,2,20829,200,9,42,2018,126,4
1604,325,10,5271,558,5,8,2014,117,5
2965,176,4,11147,398,2,39,2002,20,6
39,220,4,7859,586,9,18,2001,71,6
2421,417,7,13901,558,4,9,2017,6,7
693,427,8,7085,528,10,44,2012,197,3
2194,201,9,26835,502,10,11,2000,87,3
1718,18,5,22187,77,3,44,2018,127,3
581,224,9,19812,312,6,11,2008,2,7
713,439,3,4204,453,9,49,2013,152,5
500,18,2,2186,448,3,17,2017,150,4
1450,86,4,25182,412,3,36,2015,156,7
700,121,4,17220,618,6,48,2007,78,3
738,73,4,21315,554,8,43,2000,28,5
805,65,3,614,159,9,47,2010,114,7
1556,99,2,20537,144,2,11,2013,29,2
2055,15,4,16662,262,9,39,2001,99,6
1137,342,9,8962,326,7,23,2016,142,5
857,289,5,21044,664,1,28,2000,95,4
2732,273,6,9411,642,9,25,2008,8,3
2060,234,7,2729,677,4,27,2000,94,3
1203,34,8,14010,291,10,12,2016,35,4
1274,80,9,5390,416,1,14,2019,149,1
179,180,9,4575,109,9,6,2007,99,3
412,48,8,18139,107,9,10,2013,73,1
1300,126,5,5651,666,6,42,2004,112,5
1045,427,8,16176,144,3,4,2020,28,3
1604,372,9,264,428,7,41,2007,139,3
1049,344,3,17471,694,6,13,2001,64,1
2054,384,3,14526,399,7,20,2019,138,2
871,441,3,10061,478,5,6,2020,43,4
472,68,4,16298,380,5,46,2018,11,4
2200,158,2,7327,675,1,26,2018,104,1
2268,56,9,20732,515,6,37,2004,67,4
295,414,9,10448,321,10,20,2008,70,2
1632,448,9,22715,516,7,18,2006,37,2
1324,182,1,1686,224,5,3,2003,9,7
911,122,3,2142,88,9,36,2000,131,3
543,378,10,17624,532,7,7,2017,180,6
2738,212,9,25240,114,8,6,2011,129,6
836,177,4,2386,518,3,47,2003,154,1
1855,36,9,2425,96,6,40,2011,33,4
2042,130,8,1989,174,9,15,2007,97,2
2943,419,8,11938,116,1,50,2012,61,3
1398,152,9,599,185,1,32,2003,106,4
2563,36,9,9707,561,5,33,2009,162,5
302,332,6,3640,313,10,28,2001,41,4
766,165,8,13777,380,5,17,2000,32,6
141,271,3,27214,239,7,17,2014,200,5
2736,131,8,7966,277,3,22,2013,49,2
24,298,10,22063,228,5,48,2014,196,7
744,389,3,12516,694,4,17,2005,48,4
1587,364,10,20590,419,6,28,2014,101,6
1147,159,7,24046,613,6,13,2003,151,2
422,441,5,19802,227,10,9,2009,82,2
894,381,10,107,191,1,25,2009,12,4
750,387,5,27775,257,9,49,2015,136,2
2733,423,5,28293,82,9,15,2017,91,6
1655,377,7,19421,192,9,24,2010,36,2
2768,412,1,6169,325,9,35,2003,31,1
2496,172,8,23504,410,10,47,2009,39,3
1320,167,8,12344,567,3,45,2021,185,7
2491,38,5,25589,292,10,20,2012,69,1
2492,322,6,17882,672,10,10,2000,43,3
1977,239,9,26090,559,6,33,2016,85,7
2530,106,6,4275,187,7,11,2004,195,3
1606,375,2,28219,279,5,13,2003,176,5
1618,138,8,29651,382,2,28,2007,44,7
1353,298,2,8706,318,2,44,2001,157,5
2637,258,8,17302,600,4,2,2019,46,7
1819,343,2,3915,579,10,31,2005,145,3
615,72,7,29211,145,3,31,2021,173,5
380,196,10,17858,272,8,23,2011,78,5
2070,383,10,9356,566,1,39,2015,146,1
2509,442,7,11776,154,1,6,2012,187,6
